label,text,coarse_label
1,This iswhatthe president's cynical manipulation of the Hispanic community has delivered:a hardening of American attitudes,0
1,The same distancing will likely occur between blacks and whitesasthe demonstrations over the grand jury decisions in Ferguson and Staten Island roll on,0
1,only recently a sizable majority of blacks and whites declaredthemselves comfortable with the state of race relations in the country,0
1,pictures of looting and the inflammatory rhetoric of self-interested activists like Al Sharpton will inevitably sharpen racial divides,0
1,"The insistent proclamations from Attorney General Eric Holderthat our justice system is biased,and the president's agreementthat the law ""feelslikeit's being applied in a discriminatory fashion,""do not help",0
1,"Today, Obama's well-honed political tactics ofdividing and conquering-- so essential toelecting a virtual nobody to the Oval Office-- have come asunder",0
1,The interest groups wooed by the president have begunto turn against him,0
1,Some feel betrayed,0
1,others understandthat their demands have isolated them from their fellow countrymen,0
4,The only group still giving the president more than a 50 percent approval rating is voters under 3,2
1,Forthe rest of the poor boobs not caught up in the Obama splinter sweep-- they are eagerto elect a successorwho might look out for them,0
1,"Turns out,those forgotten folks are actually in the majority, and just voted in a Republican Senate",0
4,"According to the Quinnipiac poll, 48 percent of voters thinkimmigrants living in the U.S  illegally should be allowedto stay",2
4,"That's down from 57 percent last year, and lower than ever",2
4," some 35 percent of the voting public thinksundocumented aliens should be deported -- a record high, and up from 26 percent last year",2
1,That's in spite of insistent hectoring from the White House about the moral imperative ofproviding a legal path for thosewho are here illegally,0
3,"Congratulations, Mr  Obama, forramping up opposition to immigration reform",1
1,Howto deal with illegal immigrantsis not the only issueon which the nation's attitudes are hardening,0
0,"Last August, after the shooting of Michael Brown (but before the grand jury decision in the case), a New York Times/CBS poll surveyed voters on their attitudes about race",2
4,"Askedwhetherrace relations had improved or soured during President Obama's time in office,35 percent of respondents saidthey had gottenworse",2
4,52 percent saidthey had stayed the same,2
4,Only 10 percent thoughtthe president had had a positive impact on relations - 8 percent of whites and 17 percent of blacks,2
1,That is an impressive underachievement from our first African-American president,0
4," 78 percent of respondents,whenasked about ""race relations in your community,""saidthey were ""generally good.""",2
4,"That included 82 percent of whites and 73 percent of blacks -- a strong vote of confidence, especially from a groupthat was much less positive about the country as a whole, with only 47 percent sayingU.S  race relations were ""generally good.""",2
1,"This split suggeststhat people have absorbed the narrativethat our country has a race problem not from their personal experience in their own communities, but from the media or our political leaders",0
1,The most compelling aspect of that story line entails racial bias in law enforcement,0
1,"Many initiatives, fromdecriminalizing marijuana possession to de-emphasizing tactics like ""stop and frisk,""have been promulgated based on the factthat more blacks than whites end up on the wrong side of the law",0
1,"Holder has even dumbed down school discipline measures,arguingthey constitute an example of racial bias",0
1,The Manhattan Institute's Steve Malanga sheds some welcome light on this issue,0
4,"According to surveys conducted by the federal Bureau of Justice Statistics over the past 20 years, the number of confrontations between Americans and the police has declined,ashas the use of force by law enforcement officials",2
4,"Most important, perhaps, isthat the declines were recorded not just for whites, but for all races",2
4,"In 2002, 173,000 African-Americans reported a ""use of force""; in 2011,that was down to 130,000",2
4,"Nearly 83 percent of blackswho were involved in trafficstops(the most numerous encounters) agreed with the statement,""WhenI was stopped by the police,the officers acted properly.""",2
4,That figure was up from 78 percent in 2002,2
4,"As for so-called ""street stops,""the Bureau reports,""In 2011, less than 1% of the 241.4 million U.S  residents age 16 or older were involved in a street stop""",2
4," ""no differences were observed in the percentage of non-Hispanic white, non-Hispanic black, and Hispanic populations age 16 or older involved in a street stop.""",2
1,So much for unfair profiling,0
4,"Under 3 percent of police encountersinvolve ""street stops"" of an involuntary nature",2
4,"of those stopped (likely not a happy crew), two-thirds saidthe cops behaved ""properly and respectfully.""",2
